anomaly_type,affected_records_pct,data_source,pipeline_stage,historical_frequency,time_sensitivity,data_domain,severity_score_raw,severity_score,label
null_values,22.37,manual_entry,serving,frequent,medium,marketing,0.4515,0.4276,auto_resolve
schema_mismatch,9.28,crm,transformation,chronic,critical,product,0.5057,0.5691,escalate
schema_mismatch,21.28,manual_entry,transformation,first_occurrence,high,hr,0.614,0.6909,critical
outlier,4.36,manual_entry,validation,frequent,medium,operations,0.375,0.4066,auto_resolve
schema_mismatch,13.65,manual_entry,validation,frequent,low,operations,0.3785,0.4587,auto_resolve
duplicates,14.63,data_warehouse,transformation,rare,medium,operations,0.3427,0.3442,auto_resolve
outlier,23.82,iot_stream,validation,rare,low,product,0.3667,0.5031,escalate
null_values,41.28,erp,loading,occasional,low,marketing,0.3744,0.4567,auto_resolve
null_values,26.55,erp,validation,frequent,critical,hr,0.5111,0.6068,escalate
null_values,17.88,erp,ingestion,occasional,medium,marketing,0.3283,0.2344,auto_resolve
outlier,18.33,api_feed,serving,rare,low,operations,0.4134,0.4397,auto_resolve
duplicates,10.74,data_warehouse,ingestion,rare,high,operations,0.365,0.1815,auto_resolve
null_values,30.89,api_feed,ingestion,occasional,low,finance,0.339,0.4791,escalate
duplicates,49.76,erp,serving,first_occurrence,medium,operations,0.5328,0.4705,escalate
null_values,20.01,data_warehouse,ingestion,occasional,low,operations,0.2585,0.2101,auto_resolve
schema_mismatch,30.31,manual_entry,ingestion,first_occurrence,low,finance,0.4881,0.3514,auto_resolve
duplicates,11.13,erp,validation,frequent,medium,compliance,0.3278,0.3242,auto_resolve
duplicates,30.44,data_warehouse,loading,frequent,high,finance,0.4595,0.4327,auto_resolve
duplicates,35.81,erp,ingestion,frequent,medium,product,0.3505,0.5328,escalate
schema_mismatch,28.84,api_feed,transformation,rare,high,operations,0.5688,0.6547,critical
duplicates,41.33,api_feed,ingestion,occasional,critical,marketing,0.507,0.4556,auto_resolve
null_values,35.54,data_warehouse,transformation,frequent,high,finance,0.4801,0.3134,auto_resolve
null_values,29.55,erp,transformation,occasional,critical,hr,0.5475,0.3192,auto_resolve
data_corruption,23.08,erp,ingestion,rare,critical,product,0.6293,0.5267,escalate
referential_integrity,22.64,manual_entry,serving,first_occurrence,high,hr,0.6906,0.5575,escalate
schema_mismatch,13.28,iot_stream,validation,occasional,low,operations,0.3665,0.4014,auto_resolve
null_values,2.16,crm,loading,occasional,low,finance,0.2847,0.2702,auto_resolve
data_corruption,34.79,erp,serving,chronic,high,product,0.6339,0.6357,critical
outlier,31.68,data_warehouse,serving,frequent,high,product,0.5067,0.4118,auto_resolve
outlier,34.93,manual_entry,validation,frequent,high,marketing,0.506,0.5212,escalate
duplicates,52.81,erp,transformation,chronic,medium,product,0.418,0.2759,auto_resolve
null_values,17.7,erp,loading,frequent,high,hr,0.4528,0.4439,auto_resolve
null_values,27.27,api_feed,transformation,first_occurrence,high,operations,0.5205,0.6035,escalate
referential_integrity,26.94,manual_entry,ingestion,first_occurrence,medium,hr,0.5514,0.5149,escalate
duplicates,3.89,api_feed,transformation,frequent,low,finance,0.2607,0.305,auto_resolve
null_values,40.77,manual_entry,transformation,occasional,medium,finance,0.5068,0.3091,auto_resolve
duplicates,12.48,crm,transformation,chronic,low,hr,0.2421,0.0364,auto_resolve
schema_mismatch,19.09,iot_stream,loading,rare,low,compliance,0.4693,0.502,escalate
null_values,5.77,crm,transformation,rare,medium,operations,0.3514,0.4561,auto_resolve
referential_integrity,7.65,iot_stream,ingestion,frequent,low,finance,0.3644,0.3406,auto_resolve
outlier,20.53,crm,ingestion,frequent,critical,finance,0.5061,0.7207,critical
outlier,33.44,crm,loading,frequent,medium,operations,0.433,0.2886,auto_resolve
duplicates,2.69,crm,transformation,first_occurrence,medium,hr,0.3491,0.2811,auto_resolve
schema_mismatch,12.27,erp,transformation,occasional,low,finance,0.3778,0.3918,auto_resolve
schema_mismatch,11.01,api_feed,loading,occasional,high,finance,0.5423,0.5888,escalate
schema_mismatch,33.01,manual_entry,loading,chronic,medium,hr,0.5292,0.4708,escalate
null_values,20.68,iot_stream,transformation,rare,medium,finance,0.4486,0.3426,auto_resolve
duplicates,13.76,api_feed,validation,occasional,medium,operations,0.3348,0.3969,auto_resolve
null_values,13.99,api_feed,ingestion,rare,medium,hr,0.3696,0.3829,auto_resolve
duplicates,25.73,erp,serving,frequent,medium,finance,0.4342,0.3998,auto_resolve
duplicates,12.73,iot_stream,validation,rare,high,operations,0.431,0.4809,escalate
null_values,50.4,crm,validation,chronic,high,finance,0.5058,0.4921,escalate
null_values,42.47,erp,ingestion,first_occurrence,medium,marketing,0.4358,0.4219,auto_resolve
schema_mismatch,25.12,crm,validation,frequent,critical,compliance,0.5933,0.5756,escalate
null_values,35.7,erp,transformation,frequent,medium,hr,0.4192,0.3371,auto_resolve
referential_integrity,25.58,api_feed,transformation,rare,low,finance,0.4744,0.3821,auto_resolve
schema_mismatch,35.14,crm,validation,rare,medium,finance,0.5079,0.4553,auto_resolve
duplicates,17.72,crm,loading,occasional,medium,marketing,0.3438,0.347,auto_resolve
schema_mismatch,62.76,iot_stream,transformation,occasional,medium,product,0.5745,0.3873,auto_resolve
null_values,54.1,crm,loading,frequent,high,hr,0.5435,0.638,critical
data_corruption,0.6,api_feed,ingestion,occasional,medium,hr,0.4441,0.4459,auto_resolve
duplicates,9.04,erp,validation,rare,critical,finance,0.4902,0.3837,auto_resolve
outlier,27.07,iot_stream,ingestion,chronic,low,compliance,0.3454,0.507,escalate
null_values,33.55,manual_entry,ingestion,rare,medium,product,0.4416,0.4458,auto_resolve
duplicates,9.43,crm,loading,occasional,low,marketing,0.2582,0.1247,auto_resolve
duplicates,38.51,iot_stream,ingestion,chronic,medium,operations,0.3754,0.5326,escalate
referential_integrity,12.99,api_feed,serving,chronic,medium,operations,0.4867,0.6222,critical
schema_mismatch,23.95,erp,transformation,rare,medium,operations,0.4784,0.3875,auto_resolve
duplicates,24.11,manual_entry,validation,rare,high,marketing,0.4667,0.4344,auto_resolve
null_values,10.06,manual_entry,ingestion,occasional,low,marketing,0.2864,0.2406,auto_resolve
duplicates,26.8,erp,validation,occasional,low,hr,0.299,0.1101,auto_resolve
duplicates,11.91,erp,serving,frequent,medium,hr,0.3805,0.413,auto_resolve
duplicates,7.16,crm,validation,occasional,low,operations,0.2287,0.3132,auto_resolve
null_values,1.85,api_feed,transformation,rare,medium,operations,0.3626,0.4283,auto_resolve
outlier,35.89,data_warehouse,loading,occasional,medium,finance,0.4637,0.467,auto_resolve
referential_integrity,26.91,api_feed,validation,frequent,high,operations,0.536,0.6302,critical
null_values,23.97,data_warehouse,ingestion,frequent,critical,product,0.4481,0.3346,auto_resolve
schema_mismatch,9.05,crm,validation,occasional,medium,operations,0.3879,0.5697,escalate
null_values,13.89,manual_entry,validation,rare,critical,compliance,0.5838,0.5066,escalate
schema_mismatch,27.76,data_warehouse,loading,occasional,high,hr,0.5369,0.4708,escalate
null_values,13.63,manual_entry,transformation,occasional,low,product,0.3338,0.2763,auto_resolve
schema_mismatch,46.51,crm,transformation,frequent,high,operations,0.5624,0.4976,escalate
outlier,34.61,erp,serving,frequent,medium,finance,0.5064,0.4871,escalate
outlier,21.72,crm,validation,chronic,high,compliance,0.4535,0.4303,auto_resolve
null_values,25.99,api_feed,transformation,occasional,high,hr,0.4816,0.4945,escalate
referential_integrity,37.16,data_warehouse,serving,frequent,high,compliance,0.6406,0.5588,escalate
null_values,52.89,erp,ingestion,rare,high,hr,0.5345,0.5512,escalate
null_values,49.54,crm,transformation,occasional,high,operations,0.5157,0.4067,auto_resolve
schema_mismatch,7.53,erp,loading,occasional,medium,finance,0.451,0.5243,escalate
duplicates,12.2,api_feed,validation,frequent,critical,marketing,0.4351,0.5071,escalate
outlier,7.22,api_feed,serving,frequent,medium,operations,0.4159,0.4153,auto_resolve
outlier,34.9,erp,validation,rare,high,compliance,0.5514,0.4864,escalate
duplicates,43.85,manual_entry,transformation,frequent,high,product,0.5126,0.5437,escalate
data_corruption,12.22,crm,transformation,frequent,low,operations,0.4021,0.3133,auto_resolve
null_values,16.24,api_feed,ingestion,chronic,medium,operations,0.3252,0.3286,auto_resolve
duplicates,12.0,api_feed,serving,occasional,high,finance,0.4872,0.472,escalate
null_values,7.7,crm,ingestion,chronic,critical,marketing,0.3967,0.6597,critical
referential_integrity,62.97,api_feed,transformation,frequent,high,compliance,0.6991,0.5764,escalate
null_values,20.45,manual_entry,transformation,frequent,medium,hr,0.4213,0.1545,auto_resolve
null_values,30.15,api_feed,ingestion,occasional,low,operations,0.3194,0.2557,auto_resolve
duplicates,58.61,manual_entry,ingestion,frequent,medium,product,0.4552,0.2837,auto_resolve
data_corruption,54.32,api_feed,validation,frequent,medium,finance,0.6215,0.5489,escalate
referential_integrity,4.63,erp,ingestion,occasional,high,compliance,0.4916,0.3618,auto_resolve
outlier,18.92,data_warehouse,serving,chronic,medium,hr,0.4114,0.3209,auto_resolve
referential_integrity,28.05,data_warehouse,serving,rare,medium,finance,0.5685,0.4621,auto_resolve
referential_integrity,50.13,crm,ingestion,occasional,medium,hr,0.5156,0.6119,critical
duplicates,23.55,data_warehouse,loading,occasional,critical,finance,0.5207,0.5158,escalate
duplicates,5.53,manual_entry,transformation,occasional,medium,hr,0.3683,0.4758,escalate
outlier,18.29,crm,ingestion,occasional,low,marketing,0.2764,0.2804,auto_resolve
schema_mismatch,0.73,api_feed,transformation,occasional,medium,marketing,0.3888,0.4817,escalate
duplicates,28.81,crm,loading,occasional,medium,hr,0.3943,0.3641,auto_resolve
null_values,33.36,api_feed,validation,first_occurrence,medium,operations,0.4547,0.6142,critical
outlier,20.76,data_warehouse,ingestion,first_occurrence,high,finance,0.4836,0.5307,escalate
null_values,42.52,erp,validation,frequent,low,product,0.3416,0.2636,auto_resolve
referential_integrity,7.11,api_feed,validation,occasional,medium,marketing,0.411,0.473,escalate
null_values,28.61,erp,validation,first_occurrence,medium,hr,0.4385,0.4412,auto_resolve
null_values,12.28,api_feed,transformation,first_occurrence,medium,hr,0.4208,0.4005,auto_resolve
outlier,13.31,iot_stream,loading,rare,medium,finance,0.4678,0.4774,escalate
null_values,12.45,erp,validation,first_occurrence,medium,compliance,0.4143,0.4895,escalate
null_values,29.21,api_feed,ingestion,chronic,low,operations,0.2948,0.0831,auto_resolve
schema_mismatch,24.46,erp,loading,occasional,low,marketing,0.3934,0.3583,auto_resolve
referential_integrity,23.2,manual_entry,transformation,occasional,high,operations,0.5863,0.6546,critical
null_values,35.51,manual_entry,validation,occasional,critical,hr,0.5922,0.6171,critical
duplicates,18.63,manual_entry,validation,rare,low,finance,0.3556,0.243,auto_resolve
outlier,17.64,erp,transformation,frequent,low,marketing,0.3064,0.0697,auto_resolve
data_corruption,50.27,api_feed,ingestion,chronic,critical,operations,0.6827,0.8528,critical
duplicates,7.84,manual_entry,validation,rare,low,hr,0.3132,0.2944,auto_resolve
null_values,10.56,manual_entry,loading,rare,critical,marketing,0.5474,0.6988,critical
null_values,48.32,api_feed,loading,occasional,high,operations,0.5509,0.6304,critical
null_values,37.36,iot_stream,validation,rare,low,marketing,0.3746,0.2952,auto_resolve
null_values,15.42,erp,ingestion,rare,low,marketing,0.2794,0.0292,auto_resolve
schema_mismatch,12.29,crm,transformation,frequent,critical,hr,0.544,0.4978,escalate
null_values,13.62,data_warehouse,loading,occasional,low,marketing,0.2799,0.2762,auto_resolve
duplicates,39.64,crm,transformation,rare,medium,marketing,0.4071,0.4522,auto_resolve
schema_mismatch,18.44,data_warehouse,validation,frequent,low,marketing,0.3139,0.2028,auto_resolve
schema_mismatch,8.81,api_feed,transformation,rare,medium,hr,0.4559,0.4737,escalate
null_values,35.78,data_warehouse,ingestion,occasional,high,operations,0.4339,0.4517,auto_resolve
outlier,8.04,api_feed,validation,frequent,medium,operations,0.3521,0.4507,auto_resolve
outlier,15.64,iot_stream,validation,occasional,low,hr,0.335,0.3043,auto_resolve
outlier,41.88,manual_entry,validation,occasional,medium,hr,0.4981,0.5423,escalate
null_values,25.64,api_feed,ingestion,frequent,medium,finance,0.3818,0.4106,auto_resolve
null_values,60.78,erp,loading,occasional,low,marketing,0.4261,0.5136,escalate
referential_integrity,19.41,crm,transformation,frequent,high,marketing,0.4913,0.4093,auto_resolve
duplicates,17.27,erp,loading,occasional,medium,product,0.3598,0.0527,auto_resolve
duplicates,14.46,data_warehouse,validation,occasional,low,marketing,0.2291,0.2054,auto_resolve
duplicates,34.96,erp,transformation,frequent,critical,marketing,0.5007,0.4776,escalate
schema_mismatch,21.59,manual_entry,validation,rare,medium,operations,0.4994,0.3836,auto_resolve
data_corruption,31.19,api_feed,validation,frequent,low,operations,0.4598,0.309,auto_resolve
null_values,8.57,erp,transformation,rare,low,product,0.2985,0.2411,auto_resolve
referential_integrity,36.7,data_warehouse,validation,occasional,medium,marketing,0.4577,0.4462,auto_resolve
null_values,27.35,crm,ingestion,frequent,medium,marketing,0.3322,0.3417,auto_resolve
schema_mismatch,23.8,api_feed,serving,occasional,low,hr,0.4586,0.2301,auto_resolve
schema_mismatch,13.58,api_feed,transformation,first_occurrence,high,hr,0.5588,0.3835,auto_resolve
null_values,45.5,crm,ingestion,occasional,medium,compliance,0.4351,0.5481,escalate
null_values,32.8,erp,loading,frequent,low,hr,0.3606,0.3417,auto_resolve
duplicates,23.73,manual_entry,ingestion,chronic,high,operations,0.4228,0.4225,auto_resolve
data_corruption,5.03,crm,serving,occasional,high,finance,0.6062,0.4729,escalate
schema_mismatch,24.67,iot_stream,transformation,first_occurrence,medium,compliance,0.5625,0.562,escalate
referential_integrity,22.81,api_feed,ingestion,occasional,critical,hr,0.5959,0.5583,escalate
outlier,12.68,crm,ingestion,occasional,low,finance,0.2862,0.2243,auto_resolve
duplicates,15.28,erp,ingestion,first_occurrence,low,operations,0.2895,0.1433,auto_resolve
outlier,39.1,crm,ingestion,frequent,low,operations,0.333,0.2462,auto_resolve
null_values,19.16,manual_entry,ingestion,occasional,medium,marketing,0.3741,0.5713,escalate
null_values,7.1,api_feed,transformation,occasional,medium,hr,0.3615,0.3265,auto_resolve
outlier,19.86,crm,transformation,occasional,low,hr,0.33,0.409,auto_resolve
outlier,7.12,api_feed,transformation,first_occurrence,medium,marketing,0.4058,0.3861,auto_resolve
null_values,14.55,api_feed,ingestion,occasional,critical,compliance,0.509,0.4778,escalate
duplicates,72.55,api_feed,ingestion,occasional,high,compliance,0.5857,0.5221,escalate
schema_mismatch,21.36,crm,ingestion,occasional,medium,marketing,0.3905,0.5251,escalate
referential_integrity,29.09,crm,ingestion,frequent,medium,operations,0.4375,0.4748,escalate
schema_mismatch,22.95,erp,transformation,occasional,high,product,0.5102,0.4312,auto_resolve
duplicates,6.02,manual_entry,ingestion,occasional,medium,operations,0.3301,0.2906,auto_resolve
duplicates,22.66,manual_entry,transformation,frequent,medium,compliance,0.4267,0.5343,escalate
duplicates,19.64,erp,serving,occasional,medium,marketing,0.3912,0.1074,auto_resolve
schema_mismatch,47.18,erp,ingestion,occasional,low,hr,0.4289,0.46,auto_resolve
referential_integrity,15.02,manual_entry,ingestion,frequent,medium,operations,0.4538,0.5076,escalate
duplicates,41.5,crm,validation,occasional,medium,marketing,0.375,0.3,auto_resolve
null_values,10.74,api_feed,transformation,occasional,low,hr,0.3045,0.3199,auto_resolve
null_values,27.13,api_feed,ingestion,frequent,low,finance,0.3165,0.3667,auto_resolve
outlier,7.01,erp,loading,occasional,high,marketing,0.432,0.3089,auto_resolve
outlier,30.38,api_feed,validation,chronic,low,marketing,0.3243,0.4085,auto_resolve
null_values,10.1,erp,serving,occasional,medium,finance,0.4237,0.4534,auto_resolve
null_values,3.02,api_feed,serving,occasional,low,finance,0.3452,0.3299,auto_resolve
schema_mismatch,9.79,crm,validation,first_occurrence,low,marketing,0.3545,0.365,auto_resolve
null_values,28.62,api_feed,validation,rare,high,marketing,0.468,0.5388,escalate
outlier,20.77,api_feed,transformation,occasional,low,finance,0.3676,0.5992,escalate
duplicates,4.02,crm,loading,rare,low,finance,0.2901,0.3511,auto_resolve
null_values,27.09,api_feed,validation,occasional,critical,product,0.5159,0.597,escalate
referential_integrity,21.24,manual_entry,transformation,rare,medium,finance,0.5662,0.5855,escalate
null_values,10.22,data_warehouse,ingestion,first_occurrence,medium,hr,0.3478,0.538,escalate
null_values,14.91,erp,validation,occasional,medium,finance,0.368,0.2214,auto_resolve
null_values,21.74,erp,transformation,occasional,low,finance,0.3356,0.1619,auto_resolve
null_values,20.24,erp,loading,occasional,medium,operations,0.3967,0.412,auto_resolve
null_values,13.47,iot_stream,ingestion,frequent,medium,marketing,0.3272,0.3932,auto_resolve
null_values,14.33,api_feed,loading,rare,low,operations,0.3474,0.0899,auto_resolve
null_values,7.1,erp,ingestion,first_occurrence,low,hr,0.2943,0.2939,auto_resolve
null_values,12.22,manual_entry,validation,chronic,medium,marketing,0.3504,0.3323,auto_resolve
schema_mismatch,4.44,crm,transformation,chronic,low,finance,0.3203,0.3947,auto_resolve
schema_mismatch,4.64,api_feed,transformation,occasional,low,product,0.3419,0.3848,auto_resolve
duplicates,10.43,api_feed,transformation,occasional,medium,finance,0.3608,0.18,auto_resolve
duplicates,28.23,api_feed,ingestion,frequent,medium,product,0.3408,0.2328,auto_resolve
duplicates,18.84,manual_entry,ingestion,occasional,medium,operations,0.3653,0.2846,auto_resolve
referential_integrity,30.2,erp,loading,rare,low,marketing,0.451,0.5249,escalate
referential_integrity,21.85,api_feed,ingestion,rare,high,marketing,0.519,0.5565,escalate
null_values,26.96,api_feed,validation,rare,high,marketing,0.4636,0.4016,auto_resolve
null_values,10.5,crm,validation,frequent,medium,operations,0.3149,0.3293,auto_resolve
null_values,9.77,iot_stream,ingestion,occasional,high,compliance,0.4359,0.3301,auto_resolve
null_values,17.92,manual_entry,loading,rare,medium,marketing,0.4397,0.6447,critical
schema_mismatch,22.28,data_warehouse,loading,rare,low,compliance,0.4315,0.489,escalate
duplicates,9.53,manual_entry,loading,rare,medium,marketing,0.3963,0.4749,escalate
null_values,14.73,erp,loading,frequent,medium,finance,0.3907,0.5284,escalate
duplicates,11.43,api_feed,validation,frequent,high,operations,0.3834,0.4851,escalate
duplicates,64.27,erp,serving,occasional,medium,compliance,0.5672,0.5703,escalate
null_values,23.89,crm,ingestion,frequent,medium,operations,0.3352,0.3167,auto_resolve
outlier,22.13,api_feed,ingestion,rare,high,product,0.4648,0.5936,escalate
null_values,11.48,erp,validation,occasional,low,operations,0.2736,0.2762,auto_resolve
referential_integrity,37.45,crm,ingestion,occasional,medium,product,0.4629,0.388,auto_resolve
null_values,16.11,iot_stream,validation,first_occurrence,medium,product,0.4107,0.6074,escalate
outlier,46.39,crm,transformation,occasional,critical,hr,0.6059,0.5123,escalate
referential_integrity,17.51,api_feed,transformation,frequent,low,hr,0.4018,0.2284,auto_resolve
data_corruption,23.17,manual_entry,loading,first_occurrence,high,operations,0.6907,0.79,critical
outlier,11.62,api_feed,ingestion,occasional,medium,compliance,0.3824,0.3093,auto_resolve
outlier,36.66,crm,ingestion,frequent,critical,operations,0.5243,0.5678,escalate
schema_mismatch,54.68,api_feed,validation,frequent,critical,marketing,0.6325,0.8142,critical
outlier,19.38,manual_entry,loading,occasional,high,product,0.5167,0.3792,auto_resolve
null_values,31.89,iot_stream,loading,rare,low,hr,0.4141,0.41,auto_resolve
duplicates,72.84,erp,ingestion,frequent,medium,operations,0.4588,0.6072,escalate
duplicates,53.54,crm,loading,rare,high,hr,0.5531,0.6213,critical
referential_integrity,7.46,api_feed,validation,rare,medium,marketing,0.4332,0.4152,auto_resolve
duplicates,42.47,erp,loading,rare,high,operations,0.5238,0.7627,critical
duplicates,4.17,manual_entry,ingestion,occasional,high,finance,0.4123,0.4028,auto_resolve
schema_mismatch,6.01,manual_entry,transformation,occasional,medium,product,0.4428,0.4825,escalate
null_values,37.66,manual_entry,transformation,frequent,low,hr,0.4022,0.5672,escalate
null_values,11.38,data_warehouse,validation,occasional,medium,product,0.3115,0.4096,auto_resolve
duplicates,9.49,api_feed,ingestion,chronic,medium,marketing,0.2742,0.4064,auto_resolve
duplicates,52.0,data_warehouse,transformation,occasional,medium,compliance,0.4543,0.3643,auto_resolve
null_values,6.93,api_feed,validation,occasional,low,marketing,0.2622,0.385,auto_resolve
duplicates,44.93,crm,transformation,rare,high,marketing,0.4848,0.5017,escalate
duplicates,19.54,manual_entry,transformation,rare,low,compliance,0.3821,0.3076,auto_resolve
duplicates,49.87,manual_entry,ingestion,occasional,medium,hr,0.4588,0.481,escalate
duplicates,56.1,data_warehouse,loading,frequent,medium,compliance,0.4723,0.4913,escalate
schema_mismatch,37.84,erp,validation,rare,medium,hr,0.5092,0.696,critical
null_values,25.77,erp,validation,occasional,low,marketing,0.3015,0.3396,auto_resolve
referential_integrity,13.55,iot_stream,serving,occasional,high,marketing,0.5659,0.4878,escalate
referential_integrity,31.43,crm,validation,occasional,high,product,0.5277,0.4265,auto_resolve
duplicates,73.98,api_feed,ingestion,rare,medium,operations,0.5059,0.5012,escalate
duplicates,32.9,api_feed,validation,rare,critical,hr,0.5513,0.4167,auto_resolve
